"product_type","score_band","applications","avg_requested_amount","avg_apr","avg_monthly_payment","avg_pti","avg_pd","avg_expected_loss"
AUTO_LOAN,SUPER_PRIME,1786,46136.81,0.0697,981.29,0.0755,0.0119,256.74
AUTO_LOAN,PRIME,2771,45278.25,0.0849,996.52,0.0918,0.0361,775.82
AUTO_LOAN,NEAR_PRIME,2390,43788.68,0.1101,1027.56,0.1161,0.1199,2503.80
AUTO_LOAN,SUBPRIME,1759,40236.91,0.1447,1000.93,0.1614,0.3611,6843.71
AUTO_LOAN,DEEP_SUBPRIME,1240,39537.25,0.1893,1080.89,0.2421,0.4483,7994.59
HELOC,SUPER_PRIME,900,154463.01,0.0854,1135.10,0.0865,0.0130,532.17
HELOC,PRIME,1326,144556.42,0.0999,1237.44,0.1159,0.0398,1556.18
HELOC,NEAR_PRIME,1176,141084.72,0.1250,1500.44,0.1704,0.1343,5185.76
HELOC,SUBPRIME,894,131376.16,0.1483,1631.81,0.2474,0.3827,13193.62
HELOC,DEEP_SUBPRIME,666,124955.09,0.1500,1561.94,0.3431,0.4487,14047.86
MORTGAGE,SUPER_PRIME,2747,468486.10,0.0652,3585.41,0.2641,0.0162,1611.61
MORTGAGE,PRIME,4285,407876.71,0.0801,3483.99,0.2971,0.0474,4058.79
MORTGAGE,NEAR_PRIME,3644,331987.76,0.0978,3188.43,0.3252,0.1541,10549.79
MORTGAGE,SUBPRIME,2639,229340.19,0.1000,2229.12,0.3054,0.3978,18416.92
MORTGAGE,DEEP_SUBPRIME,1750,147576.45,0.1000,1432.77,0.2745,0.4499,13278.90
REVOLVING_LINE,SUPER_PRIME,2190,19003.21,0.2050,570.10,0.0435,0.0122,200.95
REVOLVING_LINE,PRIME,3514,18002.43,0.2197,540.07,0.0494,0.0355,554.01
REVOLVING_LINE,NEAR_PRIME,3025,17098.68,0.2449,512.96,0.0579,0.1142,1707.64
REVOLVING_LINE,SUBPRIME,2220,16390.66,0.2800,491.72,0.0748,0.3465,4936.50
REVOLVING_LINE,DEEP_SUBPRIME,1506,14980.44,0.3256,449.41,0.1000,0.4483,5716.48
UNSECURED_PERSONAL_LOAN,SUPER_PRIME,1361,31563.60,0.1152,1010.12,0.0765,0.0128,291.17
UNSECURED_PERSONAL_LOAN,PRIME,2091,29391.67,0.1302,961.45,0.0892,0.0382,822.76
UNSECURED_PERSONAL_LOAN,NEAR_PRIME,1838,27818.26,0.1552,943.20,0.1079,0.1260,2599.80
UNSECURED_PERSONAL_LOAN,SUBPRIME,1390,25908.37,0.1896,921.57,0.1435,0.3717,6972.35
UNSECURED_PERSONAL_LOAN,DEEP_SUBPRIME,892,24454.98,0.2360,921.66,0.1996,0.4493,7699.17
